Global Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
197503,0.1064
197504,0.0749
197505,0.0644
197506,0.0312
197507,-0.0009
197508,-0.0728
197509,0.0132
197510,-0.1283
197511,-0.1479
197512,-0.0943
197601,-0.0221
197602,-0.1253
197603,-0.2385
197604,-0.0246
197605,-0.1265
197606,-0.0776
197607,-0.0896
197608,-0.0946
197609,-0.0486
197610,-0.1872
197611,-0.0443
197612,0.0867
197701,0.0589
197702,0.2338
197703,0.3070
197704,0.2788
197705,0.2332
197706,0.2435
197707,0.1668
197708,0.1377
197709,0.1832
197710,0.1139
197711,0.2572
197712,0.1079
197801,0.1574
197802,0.1256
197803,0.2208
197804,0.1296
197805,0.0572
197806,0.0498
197807,0.0646
197808,0.0005
197809,0.0699
197810,0.0605
197811,0.2238
197812,0.1486
197901,0.1575
197902,0.0877
197903,0.2413
197904,0.1090
197905,0.1526
197906,0.2130
197907,0.1687
197908,0.2216
197909,0.2474
197910,0.2902
197911,0.2927
197912,0.4993
198001,0.3062
198002,0.3486
198003,0.2378
198004,0.3059
198005,0.3141
198006,0.2435
198007,0.2141
198008,0.1916
198009,0.1976
198010,0.1789
198011,0.3282
198012,0.2634
198101,0.4652
198102,0.3604
198103,0.4080
198104,0.3537
198105,0.2593
198106,0.2814
198107,0.2211
198108,0.2391
198109,0.1840
198110,0.1661
198111,0.2106
198112,0.4183
198201,0.1330
198202,0.1549
198203,0.0810
198204,0.2029
198205,0.1870
198206,0.1207
198207,0.1394
198208,0.1367
198209,0.2310
198210,0.1738
198211,0.1465
198212,0.4320
198301,0.5125
198302,0.4778
198303,0.4229
198304,0.2886
198305,0.2851
198306,0.2623
198307,0.2603
198308,0.3180
198309,0.3132
198310,0.2084
198311,0.4285
198312,0.2707
198401,0.2808
198402,0.1715
198403,0.2685
198404,0.1467
198405,0.2797
198406,0.1276
198407,0.1153
198408,0.1645
198409,0.1378
198410,0.1124
198411,0.0351
198412,-0.0962
198501,0.1758
198502,0.0154
198503,0.1845
198504,0.1452
198505,0.1920
198506,0.1241
198507,0.0726
198508,0.1241
198509,0.0969
198510,0.1248
198511,0.1137
198512,0.1944
198601,0.3210
198602,0.2758
198603,0.2927
198604,0.2567
198605,0.2464
198606,0.2482
198607,0.1603
198608,0.1633
198609,0.1661
198610,0.2001
198611,0.1510
198612,0.2137
198701,0.3075
198702,0.4983
198703,0.2509
198704,0.2971
198705,0.3291
198706,0.2976
198707,0.4130
198708,0.3785
198709,0.4271
198710,0.3303
198711,0.3261
198712,0.5263
198801,0.5437
198802,0.3852
198803,0.4791
198804,0.4380
198805,0.3766
198806,0.3814
198807,0.3383
198808,0.3159
198809,0.3123
198810,0.2948
198811,0.2236
198812,0.3563
198901,0.2099
198902,0.3010
198903,0.3304
198904,0.2846
198905,0.2727
198906,0.2677
198907,0.2968
198908,0.2953
198909,0.2976
198910,0.2975
198911,0.2472
198912,0.3943
199001,0.3568
199002,0.4004
199003,0.7259
199004,0.4866
199005,0.4224
199006,0.4049
199007,0.3400
199008,0.3421
199009,0.3085
199010,0.4207
199011,0.4725
199012,0.4407
199101,0.4479
199102,0.4604
199103,0.3648
199104,0.5128
199105,0.4062
199106,0.4763
199107,0.4381
199108,0.3812
199109,0.3798
199110,0.3236
199111,0.3130
199112,0.3004
199201,0.4666
199202,0.4451
199203,0.4306
199204,0.2875
199205,0.3227
199206,0.2774
199207,0.1308
199208,0.1337
199209,0.0575
199210,0.1111
199211,0.0855
199212,0.2790
199301,0.3800
199302,0.3924
199303,0.4176
199304,0.3108
199305,0.3394
199306,0.2889
199307,0.2288
199308,0.2075
199309,0.1650
199310,0.2402
199311,0.0887
199312,0.3124
199401,0.2854
199402,0.0745
199403,0.3523
199404,0.3548
199405,0.3769
199406,0.3776
199407,0.3083
199408,0.3032
199409,0.3266
199410,0.4224
199411,0.4471
199412,0.3990
199501,0.5457
199502,0.6843
199503,0.4608
199504,0.4053
199505,0.3509
199506,0.4613
199507,0.4232
199508,0.4975
199509,0.3813
199510,0.4316
199511,0.4482
199512,0.3421
199601,0.2584
199602,0.4531
199603,0.3219
199604,0.2682
199605,0.3869
199606,0.3493
199607,0.3194
199608,0.3132
199609,0.2602
199610,0.2221
199611,0.2780
199612,0.3845
199701,0.3714
199702,0.4251
199703,0.4583
199704,0.4502
199705,0.4170
199706,0.5287
199707,0.5045
199708,0.5394
199709,0.6199
199710,0.6413
199711,0.5821
199712,0.6266
199801,0.6016
199802,0.8610
199803,0.6360
199804,0.7305
199805,0.6645
199806,0.6641
199807,0.7304
199808,0.6768
199809,0.5238
199810,0.4913
199811,0.4086
199812,0.5775
199901,0.4981
199902,0.6696
199903,0.3684
199904,0.4537
199905,0.4043
199906,0.4150
199907,0.3975
199908,0.3638
199909,0.3952
199910,0.3720
199911,0.3644
199912,0.5748
200001,0.3412
200002,0.5405
200003,0.5536
200004,0.6268
200005,0.4635
200006,0.4046
200007,0.3906
200008,0.4508
200009,0.4311
200010,0.2999
200011,0.2557
200012,0.3154
200101,0.4702
200102,0.3904
200103,0.6265
200104,0.5623
200105,0.5950
200106,0.5308
200107,0.5534
200108,0.5973
200109,0.5001
200110,0.4956
200111,0.6824
200112,0.5074
200201,0.6975
200202,0.7794
200203,0.7857
200204,0.5667
200205,0.5581
200206,0.5831
200207,0.6174
200208,0.5305
200209,0.5640
200210,0.4736
200211,0.5871
200212,0.4333
200301,0.6869
200302,0.5604
200303,0.5654
200304,0.5565
200305,0.5916
200306,0.5357
200307,0.5365
200308,0.6157
200309,0.6346
200310,0.7220
200311,0.5730
200312,0.7320
200401,0.5924
200402,0.7179
200403,0.6945
200404,0.5895
200405,0.4412
200406,0.4651
200407,0.4761
200408,0.5091
200409,0.5260
200410,0.6125
200411,0.7545
200412,0.5060
200501,0.6207
200502,0.5119
200503,0.6885
200504,0.7255
200505,0.6525
200506,0.6650
200507,0.6516
200508,0.6177
200509,0.6814
200510,0.6868
200511,0.7215
200512,0.6180
200601,0.4584
200602,0.6199
200603,0.5924
200604,0.5144
200605,0.5465
200606,0.6308
200607,0.6134
200608,0.6172
200609,0.6257
200610,0.6752
200611,0.6393
200612,0.7621
200701,0.8772
200702,0.6586
200703,0.6635
200704,0.7318
200705,0.6040
200706,0.5308
200707,0.5241
200708,0.5444
200709,0.5715
200710,0.5603
200711,0.5125
200712,0.4797
200801,0.2682
200802,0.3740
200803,0.7576
200804,0.4767
200805,0.4938
200806,0.5242
200807,0.5699
200808,0.5489
200809,0.5231
200810,0.6605
200811,0.6621
200812,0.5555
200901,0.5866
200902,0.5613
200903,0.5729
200904,0.6460
200905,0.5802
200906,0.6645
200907,0.6327
200908,0.6891
200909,0.7006
200910,0.6367
200911,0.6648
200912,0.6089
201001,0.6979
201002,0.7057
201003,0.8403
201004,0.8237
201005,0.7539
201006,0.7262
201007,0.7210
201008,0.6503
201009,0.5641
201010,0.6185
201011,0.7642
201012,0.4788
201101,0.4616
201102,0.4881
201103,0.5850
201104,0.6459
201105,0.5674
201106,0.6375
201107,0.6210
201108,0.6063
201109,0.5904
201110,0.6287
201111,0.4786
201112,0.5405
201201,0.4153
201202,0.4187
201203,0.5169
201204,0.7241
201205,0.7134
201206,0.6953
201207,0.6790
201208,0.6596
201209,0.7134
201210,0.6930
201211,0.6999
201212,0.4540
201301,0.5751
201302,0.6242
201303,0.6059
201304,0.5544
201305,0.7051
201306,0.6752
201307,0.6590
201308,0.6569
201309,0.6763
201310,0.6703
201311,0.8191
201312,0.6921
201401,0.6881
201402,0.4764
201403,0.7659
201404,0.7949
201405,0.7864
201406,0.7527
201407,0.6871
201408,0.7874
